**** BEGIN LOGGING AT Sun Jan 22 11:43:43 2017

Jan 22 11:43:43 <RammsteinFan>	ok see ya
Jan 22 11:43:45 <RammsteinFan>	gnight
Jan 22 11:44:19 <farfalla-away>	night night!  :)
Jan 22 11:44:27 <RammsteinFan>	:)
**** ENDING LOGGING AT Sun Jan 22 11:54:50 2017

**** BEGIN LOGGING AT Sat Feb 18 13:04:14 2017

[farfalla-away has address teena@A97DBB.C0E2E4.AEB94B.C8E15F]
Feb 18 13:04:14 <farfalla-away>	stop stealing my points!
Feb 18 13:04:30 <RammsteinFan>	ahahahaah
Feb 18 13:04:37 <farfalla-away>	lol
Feb 18 13:04:48 <RammsteinFan>	sil left
Feb 18 13:05:04 <farfalla-away>	...yes. 
Feb 18 13:05:09 <farfalla-away>	He's tired
Feb 18 13:05:18 <RammsteinFan>	ok
Feb 18 13:05:21 <RammsteinFan>	what are you drinking?
Feb 18 13:05:32 <farfalla-away>	....why do you notice that he left? 
Feb 18 13:05:40 <farfalla-away>	gin and tonic
Feb 18 13:05:49 <RammsteinFan>	ah so usual stuff
Feb 18 13:06:14 <RammsteinFan>	how many have you had so far? :)
Feb 18 13:07:08 <farfalla-away>	lol...1 but I'm done 
Feb 18 13:07:42 <RammsteinFan>	aaah :)
Feb 18 13:07:49 <farfalla-away>	I've been awake 22 hours
Feb 18 13:07:55 <farfalla-away>	I'm exhausted 
Feb 18 13:08:04 <RammsteinFan>	wow
Feb 18 13:08:07 <farfalla-away>	too old for this
Feb 18 13:08:08 <RammsteinFan>	why so long
Feb 18 13:08:16 <RammsteinFan>	had a office party?
Feb 18 13:08:20 <farfalla-away>	went out after work
Feb 18 13:08:25 <farfalla-away>	yes
Feb 18 13:08:31 <RammsteinFan>	nice
Feb 18 13:08:34 <farfalla-away>	farewell party
Feb 18 13:08:35 <RammsteinFan>	farwell party ?
Feb 18 13:08:38 <RammsteinFan>	srue
Feb 18 13:08:40 <RammsteinFan>	sure*
Feb 18 13:08:41 <farfalla-away>	yes
Feb 18 13:08:51 <farfalla-away>	i played here for 2 hours
Feb 18 13:08:58 <RammsteinFan>	wow
Feb 18 13:09:05 <farfalla-away>	spoke to Sil for 2.5 hours
Feb 18 13:09:10 <RammsteinFan>	ok
Feb 18 13:09:15 <farfalla-away>	it adds up
Feb 18 13:09:54 <farfalla-away>	I have to wake up at 8...
Feb 18 13:10:05 <RammsteinFan>	why so early?
Feb 18 13:10:13 <RammsteinFan>	you quit your job so relax 
Feb 18 13:10:30 <farfalla-away>	...that's late.   Normally I'm awake at 5.30
Feb 18 13:10:49 <RammsteinFan>	ok
Feb 18 13:10:53 <farfalla-away>	I'm just an early riser.   Things to do. ..
Feb 18 13:10:58 <RammsteinFan>	sure sure
Feb 18 13:11:01 <farfalla-away>	anyways. ..
Feb 18 13:11:13 <farfalla-away>	have a nice day and I'll see you tomorrow 
Feb 18 13:11:21 <RammsteinFan>	cooking something special tmw?
Feb 18 13:11:21 <farfalla-away>	:)
Feb 18 13:11:27 <farfalla-away>	oh yes
Feb 18 13:11:27 <RammsteinFan>	have a nice day :)
Feb 18 13:11:29 <RammsteinFan>	sleepwell
Feb 18 13:11:30 <farfalla-away>	as always
Feb 18 13:11:31 <RammsteinFan>	good night
Feb 18 13:11:36 <RammsteinFan>	great!
Feb 18 13:11:41 <farfalla-away>	thank you! 
Feb 18 13:11:43 <RammsteinFan>	good luck :)
Feb 18 13:11:49 <farfalla-away>	good day! 
Feb 18 13:11:55 *	farfalla-away waves
Feb 18 13:12:17 *	RammsteinFan waves back
Feb 18 13:12:25 <RammsteinFan>	thanks!
Feb 18 13:12:35 <RammsteinFan>	ill prob go out drinking today
**** ENDING LOGGING AT Sat Feb 18 13:15:35 2017

